Formula,LTAMKey,AtomicNumber,Element,Electrons,SlotNumber,SlotOrientation,AlphaType,SlotSpin,AtomicSymbol,AtomCount,AtomOrder,AtomLabel,AtomCountNumber
MgSeO3,T16Z1L,34,selenium,T,16,Z,1,L,Se,1,2,selenium-1,1
HBrSn,B15Y2R,35,bromine,B,15,Y,2,R,Br,1,2,bromine-1,1
YInCu4,B15Y2R,49,indium,B,15,Y,2,R,In,1,2,indium-1,1
TaSbO4,B10Z2R,51,antimony,B,10,Z,2,R,Sb,1,2,antimony-1,1
BaBiO2I,T11Z5R,83,bismuth,T,11,Z,5,R,Bi,1,2,bismuth-1,1
TiCoP,B10Z1R,27,cobalt,B,10,Z,2,R,Co,1,2,cobalt-1,1
VSiNi,T9X2L,14,silicon,T,9,X,2,L,Si,1,2,silicon-1,1
Ag3AsSe3,B15Y2R,33,arsenic,B,15,Y,2,R,As,1,2,arsenic-1,1
AgNbO3,B15Y1R,41,niobium,B,15,Y,1,R,Nb,1,2,niobium-1,1
YCuSn,V3Y2V,29,copper,V,3,Y,2,V,Cu,1,2,copper-1,1
Sr2TaN3,P1Z6P,7,nitrogen,P,1,Z,2,P,N,3,3,nitrogen-1,1
Sr2TaN3,P1Z6P,7,nitrogen,P,1,Z,2,P,N,3,3,nitrogen-2,2
SrSnS3,T14Y1L,50,tin,T,14,Y,2,L,Sn,1,2,tin-1,1
NaNiF3,B10Z1R,28,nickel,B,10,Z,2,R,Ni,1,2,nickel-1,1
Sr2TaN3,P1Z6P,7,nitrogen,P,1,Z,2,P,N,3,3,nitrogen-3,3
SrOsO3,V3Y4V,38,strontium,V,3,Y,4,V,Sr,1,1,strontium-1,1
ZrGeIr,T12Z2L,32,germanium,T,12,Z,2,L,Ge,1,2,germanium-1,1
NbOW,T11Z3R,74,tungsten,T,11,Z,3,R,W,1,3,tungsten-1,1
W4PBr11,B15Y2R,35,bromine,B,15,Y,2,R,Br,11,3,bromine-1,1
W4PBr11,B15Y2R,35,bromine,B,15,Y,2,R,Br,11,3,bromine-2,2
W4PBr11,B15Y2R,35,bromine,B,15,Y,2,R,Br,11,3,bromine-3,3
ZrTiAs,V2Y2V,22,titanium,V,2,Y,2,V,Ti,1,2,titanium-1,1
FeLiO2,P1Z6P,8,oxygen,P,1,Z,2,P,O,2,3,oxygen-1,1
MnNiAs,B15Y2R,28,nickel,B,15,Y,1,R,Ni,1,2,nickel-1,1
LiCdCoF6,T14Y2L,48,cadmium,T,14,Y,2,L,Cd,1,2,cadmium-1,1
BaAsPt,A2Y2A,33,arsenic,A,2,Y,2,A,As,1,2,arsenic-1,1
KCuSe,B13Z2L,29,copper,B,13,Z,2,L,Cu,1,2,copper-1,1
VNiP,T12Z1L,28,nickel,T,12,Z,2,L,Ni,1,2,nickel-1,1
AgSbTe2,T14Y2L,51,antimony,T,14,Y,2,L,Sb,1,2,antimony-1,1
AuClO,A2Y2A,17,chlorine,A,2,Y,2,A,Cl,1,2,chlorine-1,1
YInPt,B10Z2R,49,indium,B,10,Z,2,R,In,1,2,indium-1,1
KTeP2,T11Z2R,52,tellurium,T,11,Z,2,R,Te,1,2,tellurium-1,1
NbFeGe,T11Z2R,32,germanium,T,11,Z,2,R,Ge,1,3,germanium-1,1
NiMoP2,A2Y2A,15,phosphorus,A,2,Y,2,A,P,2,3,phosphorus-1,1
NiMoP2,A2Y2A,15,phosphorus,A,2,Y,2,A,P,2,3,phosphorus-2,2
Al2CuIr,B10Z2R,29,copper,B,10,Z,2,R,Cu,1,2,copper-1,1
LiMnO2,T11Z1R,25,manganese,T,11,Z,1,R,Mn,1,2,manganese-1,1
ZrMnGe,V2Y2V,32,germanium,V,2,Y,2,V,Ge,1,3,germanium-1,1
KCuO2,B15Y2R,29,copper,B,15,Y,2,R,Cu,1,2,copper-1,1
ZnGeN2,B10Z2R,32,germanium,B,10,Z,2,R,Ge,1,2,germanium-1,1
CoPW,V3Y2V,15,phosphorus,V,3,Y,2,V,P,1,2,phosphorus-1,1
LiAlAg2,T6Y1L,13,aluminium,T,6,Y,1,L,Al,1,2,aluminium-1,1
AgBiTe2,B17Z1R,83,bismuth,B,17,Z,1,R,Bi,1,2,bismuth-1,1
MnWO4,B17Z1R,74,tungsten,B,17,Z,1,R,W,1,2,tungsten-1,1
CsAuS,E5Z6E,55,caesium,E,5,Z,6,E,Cs,1,1,caesium-1,1
NaMnTe2,T11Z1R,25,manganese,T,11,Z,1,R,Mn,1,2,manganese-1,1
CsFeS2,B15Y2R,26,iron,B,15,Y,2,R,Fe,1,2,iron-1,1
MnNiO3,T14Y2L,28,nickel,T,14,Y,1,L,Ni,1,2,nickel-1,1
RbScO2,V3Y2V,21,scandium,V,3,Y,2,V,Sc,1,2,scandium-1,1
CoMoP,T6Y1L,15,phosphorus,T,6,Y,2,L,P,1,3,phosphorus-1,1
InPPd5,T6Y1L,15,phosphorus,T,6,Y,2,L,P,1,2,phosphorus-1,1
RbVO3,P1Z6P,8,oxygen,P,1,Z,2,P,O,3,3,oxygen-1,1
RbVO3,P1Z6P,8,oxygen,P,1,Z,2,P,O,3,3,oxygen-2,2
ScZnPd,T14Y1L,30,zinc,T,14,Y,2,L,Zn,1,2,zinc-1,1
SbPO4,P1Z6P,8,oxygen,P,1,Z,2,P,O,4,3,oxygen-1,1
SbPO4,P1Z6P,8,oxygen,P,1,Z,2,P,O,4,3,oxygen-2,2
SbPO4,P1Z6P,8,oxygen,P,1,Z,2,P,O,4,3,oxygen-3,3
RbVO3,P1Z6P,8,oxygen,P,1,Z,2,P,O,3,3,oxygen-3,3
KAgF3,A2Y2A,19,potassium,A,2,Y,2,A,K,1,1,potassium-1,1
SbPO4,P1Z6P,8,oxygen,P,1,Z,2,P,O,4,3,oxygen-4,4
Zr2NiAs2,B13Z2L,33,arsenic,B,13,Z,2,L,As,2,3,arsenic-1,1
Zr2NiAs2,B13Z2L,33,arsenic,B,13,Z,2,L,As,2,3,arsenic-2,2
CaZnSn,B13Z2L,30,zinc,B,13,Z,2,L,Zn,1,2,zinc-1,1
DySBr,T5Z1R,16,sulfur,T,5,Z,1,R,S,1,2,sulfur-1,1
K2AgI3,B17Z1R,47,silver,B,17,Z,1,R,Ag,1,2,silver-1,1
NaFeAs,V2Y2V,26,iron,V,2,Y,2,V,Fe,1,2,iron-1,1
ScCuO2,T14Y1L,29,copper,T,14,Y,1,L,Cu,1,2,copper-1,1
NaAlGe,B15Y2R,32,germanium,B,15,Y,2,R,Ge,1,3,germanium-1,1
SrMnSn,T11Z2R,50,tin,T,11,Z,2,R,Sn,1,3,tin-1,1
ZrAlPt2,A3Y6A,78,platinum,A,3,Y,6,A,Pt,2,3,platinum-1,1
ZrAlPt2,A3Y6A,78,platinum,A,3,Y,6,A,Pt,2,3,platinum-2,2
NbOSn,T14Y1L,50,tin,T,14,Y,2,L,Sn,1,3,tin-1,1
CdSnF6,T2Y1L,9,fluorine,T,2,Y,1,L,F,6,3,fluorine-1,1
CdSnF6,T2Y1L,9,fluorine,T,2,Y,1,L,F,6,3,fluorine-2,2
CdSnF6,T2Y1L,9,fluorine,T,2,Y,1,L,F,6,3,fluorine-3,3
CdSnF6,T2Y1L,9,fluorine,T,2,Y,1,L,F,6,3,fluorine-4,4
CdSnF6,T2Y1L,9,fluorine,T,2,Y,1,L,F,6,3,fluorine-5,5
Nb2MnS4,B8X2R,16,sulfur,B,8,X,2,R,S,4,3,sulfur-1,1
Nb2MnS4,B8X2R,16,sulfur,B,8,X,2,R,S,4,3,sulfur-2,2
ScCrO3,T14Y1L,24,chromium,T,14,Y,1,L,Cr,1,2,chromium-1,1
CdSnF6,T2Y1L,9,fluorine,T,2,Y,1,L,F,6,3,fluorine-6,6
Ti2FeS4,B15Y2R,26,iron,B,15,Y,2,R,Fe,1,2,iron-1,1
Nb2MnS4,B8X2R,16,sulfur,B,8,X,2,R,S,4,3,sulfur-3,3
Nb2MnS4,B8X2R,16,sulfur,B,8,X,2,R,S,4,3,sulfur-4,4
CsMnP,T12Z1L,25,manganese,T,12,Z,1,L,Mn,1,2,manganese-1,1
ScMnO3,T14Y1L,25,manganese,T,14,Y,1,L,Mn,1,2,manganese-1,1
ZrPOs,T11Z1R,40,zirconium,T,11,Z,1,R,Zr,1,1,zirconium-1,1
LiTaO3,B15Y3R,73,tantalum,B,15,Y,3,R,Ta,1,2,tantalum-1,1
AsSeI,B13Z2L,53,iodine,B,13,Z,2,L,I,1,3,iodine-1,1
TeAuBr8,B10Z4R,79,gold,B,10,Z,4,R,Au,1,2,gold-1,1
YFeO3,T2Y1L,8,oxygen,T,2,Y,1,L,O,3,3,oxygen-1,1
YFeO3,T2Y1L,8,oxygen,T,2,Y,1,L,O,3,3,oxygen-2,2
HBrRa,T11Z2R,35,bromine,T,11,Z,2,R,Br,1,2,bromine-1,1
Cr2CuSe4,T11Z2R,29,copper,T,11,Z,2,R,Cu,1,2,copper-1,1
YFeO3,T2Y1L,8,oxygen,T,2,Y,1,L,O,3,3,oxygen-3,3
TlInS2,T11Z2R,49,indium,T,11,Z,2,R,In,1,2,indium-1,1
ZrGeTe,T14Y2L,32,germanium,T,14,Y,2,L,Ge,1,2,germanium-1,1
Na2PdH2,T16Z1L,46,palladium,T,16,Z,1,L,Pd,1,2,palladium-1,1
Cl2NiO6,B13Z2L,28,nickel,B,13,Z,2,L,Ni,1,2,nickel-1,1
CsSnSe3,T12Z2L,50,tin,T,12,Z,2,L,Sn,1,2,tin-1,1
Cs2TiCl6,V2Y2V,22,titanium,V,2,Y,2,V,Ti,1,2,titanium-1,1
CsAlTe3,C5Z2C,13,aluminium,C,5,Z,2,C,Al,1,2,aluminium-1,1
NaAlO2,P1Z6P,8,oxygen,P,1,Z,2,P,O,2,3,oxygen-1,1
NaAlO2,P1Z6P,8,oxygen,P,1,Z,2,P,O,2,3,oxygen-2,2
CsMnP,V3Y2V,25,manganese,V,3,Y,2,V,Mn,1,2,manganese-1,1
NbAlCo2,B13Z2L,27,cobalt,B,13,Z,2,L,Co,2,3,cobalt-1,1
NbAlCo2,B13Z2L,27,cobalt,B,13,Z,2,L,Co,2,3,cobalt-2,2
BrNO3,T11Z2R,35,bromine,T,11,Z,2,R,Br,1,1,bromine-1,1
Rb2AgCl3,B13Z1L,47,silver,B,13,Z,1,L,Ag,1,2,silver-1,1
RbVO3,V3Y2V,23,vanadium,V,3,Y,2,V,V,1,2,vanadium-1,1
H2GeOPb,B10Z2R,32,germanium,B,10,Z,2,R,Ge,1,2,germanium-1,1
SrGaSn,V3Y4V,50,tin,V,3,Y,4,V,Sn,1,3,tin-1,1
ZrGaRh,T11Z1R,45,rhodium,T,11,Z,1,R,Rh,1,3,rhodium-1,1
TeSeO4,B13Z2L,52,tellurium,B,13,Z,2,L,Te,1,1,tellurium-1,1
ZrAlPt,T16Z2L,78,platinum,T,16,Z,2,L,Pt,1,3,platinum-1,1
CaInAu,T11Z2R,49,indium,T,11,Z,2,R,In,1,2,indium-1,1
TaSbO4,T16Z1L,73,tantalum,T,16,Z,1,L,Ta,1,1,tantalum-1,1
HfCoSn,T14Y1L,50,tin,T,14,Y,2,L,Sn,1,3,tin-1,1
NiSW,A3Y2A,28,nickel,A,3,Y,2,A,Ni,1,1,nickel-1,1
AsClF8,B15Y1R,17,chlorine,B,15,Y,1,R,Cl,1,2,chlorine-1,1
SrTeO4,B10Z2R,52,tellurium,B,10,Z,2,R,Te,1,2,tellurium-1,1
Tl3SbS4,B15Y2R,51,antimony,B,15,Y,2,R,Sb,1,2,antimony-1,1
CsFeS2,V2Y2V,26,iron,V,2,Y,2,V,Fe,1,2,iron-1,1
KMgAs,T11Z2R,33,arsenic,T,11,Z,2,R,As,1,3,arsenic-1,1
SrInPd,B10Z2R,49,indium,B,10,Z,2,R,In,1,2,indium-1,1
ScCoP,T9X1L,15,phosphorus,T,9,X,2,L,P,1,3,phosphorus-1,1
ScCrO3,T14Y1L,21,scandium,T,14,Y,1,L,Sc,1,1,scandium-1,1
SbPO4,T12Z2L,51,antimony,T,12,Z,2,L,Sb,1,1,antimony-1,1
Pt2TlS3,B15Y4R,81,thallium,B,15,Y,4,R,Tl,1,2,thallium-1,1
ZrCrP,B7Y1R,15,phosphorus,B,7,Y,2,R,P,1,3,phosphorus-1,1
Sn2OF2,B13Z2L,50,tin,B,13,Z,2,L,Sn,2,1,tin-1,1
Sn2OF2,B13Z2L,50,tin,B,13,Z,2,L,Sn,2,1,tin-2,2
Rb2AgCl3,V1Z2V,17,chlorine,V,1,Z,2,V,Cl,3,3,chlorine-1,1
NbNiB2,B15Y1R,41,niobium,B,15,Y,1,R,Nb,1,1,niobium-1,1
NaMnSb,V3Y2V,11,sodium,V,3,Y,2,V,Na,1,1,sodium-1,1
Rb2AgCl3,V1Z2V,17,chlorine,V,1,Z,2,V,Cl,3,3,chlorine-2,2
Rb2AgCl3,V1Z2V,17,chlorine,V,1,Z,2,V,Cl,3,3,chlorine-3,3
TiMnGe,B10Z2R,32,germanium,B,10,Z,2,R,Ge,1,3,germanium-1,1
LiInGe,B13Z2L,49,indium,B,13,Z,2,L,In,1,2,indium-1,1
TaPbS2,B13Z5L,82,lead,B,13,Z,5,L,Pb,1,2,lead-1,1
CaMgSn,A2Y2A,12,magnesium,A,2,Y,2,A,Mg,1,2,magnesium-1,1
NaAlSe2,B17Z1R,34,selenium,B,17,Z,1,R,Se,2,3,selenium-1,1
NaAlSe2,B17Z1R,34,selenium,B,17,Z,1,R,Se,2,3,selenium-2,2
BeClF,B15Y1R,17,chlorine,B,15,Y,1,R,Cl,1,2,chlorine-1,1
MgPSe3,B8X1R,15,phosphorus,B,8,X,2,R,P,1,2,phosphorus-1,1
KCdF3,B13Z2L,48,cadmium,B,13,Z,2,L,Cd,1,2,cadmium-1,1
Cs2YbBr6,T14Y3L,70,ytterbium,T,14,Y,3,L,Yb,1,2,ytterbium-1,1
CsMnP,A2Y2A,25,manganese,A,2,Y,2,A,Mn,1,2,manganese-1,1
KSnSe2,T11Z2R,34,selenium,T,11,Z,2,R,Se,2,3,selenium-1,1
KSnSe2,T11Z2R,34,selenium,T,11,Z,2,R,Se,2,3,selenium-2,2
YPtBi,V3Y6V,83,bismuth,V,3,Y,6,V,Bi,1,3,bismuth-1,1
SrCdBi2,A2Y6A,83,bismuth,A,2,Y,6,A,Bi,2,3,bismuth-1,1
KCrO,P1Z6P,8,oxygen,P,1,Z,2,P,O,1,3,oxygen-1,1
ZrTiAs,T11Z1R,22,titanium,T,11,Z,1,R,Ti,1,2,titanium-1,1
SrCdBi2,A2Y6A,83,bismuth,A,2,Y,6,A,Bi,2,3,bismuth-2,2
CoPSe,T9X1L,15,phosphorus,T,9,X,2,L,P,1,2,phosphorus-1,1
CsMnP,W4Z2W,15,phosphorus,W,4,Z,1,W,P,1,3,phosphorus-1,1
RbCaAs,A1Z2A,20,calcium,A,1,Z,2,A,Ca,1,2,calcium-1,1
MgGaAu,V3Y2V,31,gallium,V,3,Y,2,V,Ga,1,2,gallium-1,1
Rb2AgCl3,B7Y4R,37,rubidium,B,7,Y,4,R,Rb,2,1,rubidium-1,1
Rb2AgCl3,B7Y4R,37,rubidium,B,7,Y,4,R,Rb,2,1,rubidium-2,2
SnSO4,A3Y2A,16,sulfur,A,3,Y,2,A,S,1,2,sulfur-1,1
VNiP,T11Z2R,28,nickel,T,11,Z,2,R,Ni,1,2,nickel-1,1
BaTiS3,T6Y2L,16,sulfur,T,6,Y,2,L,S,3,3,sulfur-1,1
BaTiS3,T6Y2L,16,sulfur,T,6,Y,2,L,S,3,3,sulfur-2,2
ZrCrP,T11Z1R,24,chromium,T,11,Z,1,R,Cr,1,2,chromium-1,1
ScHCl,A2Y2A,17,chlorine,A,2,Y,2,A,Cl,1,3,chlorine-1,1
BaTiS3,T6Y2L,16,sulfur,T,6,Y,2,L,S,3,3,sulfur-3,3
B2AsCl2,V1Z2V,17,chlorine,V,1,Z,2,V,Cl,2,3,chlorine-1,1
B2AsCl2,V1Z2V,17,chlorine,V,1,Z,2,V,Cl,2,3,chlorine-2,2
CsPbF3,T2Y1L,9,fluorine,T,2,Y,1,L,F,3,3,fluorine-1,1
CsPbF3,T2Y1L,9,fluorine,T,2,Y,1,L,F,3,3,fluorine-2,2
SrMoO3,T14Y1L,42,molybdenum,T,14,Y,1,L,Mo,1,2,molybdenum-1,1
CsPbF3,T2Y1L,9,fluorine,T,2,Y,1,L,F,3,3,fluorine-3,3
MnWO4,P1Z6P,8,oxygen,P,1,Z,2,P,O,4,3,oxygen-1,1
Al2HgS4,T6Y2L,16,sulfur,T,6,Y,2,L,S,4,3,sulfur-1,1
Al2HgS4,T6Y2L,16,sulfur,T,6,Y,2,L,S,4,3,sulfur-2,2
MnWO4,P1Z6P,8,oxygen,P,1,Z,2,P,O,4,3,oxygen-2,2
MnWO4,P1Z6P,8,oxygen,P,1,Z,2,P,O,4,3,oxygen-3,3
Al2HgS4,T6Y2L,16,sulfur,T,6,Y,2,L,S,4,3,sulfur-3,3
Al2HgS4,T6Y2L,16,sulfur,T,6,Y,2,L,S,4,3,sulfur-4,4
ZrTlCdF7,T11Z4R,81,thallium,T,11,Z,4,R,Tl,1,2,thallium-1,1
ZrTlF5,A2Y4A,40,zirconium,A,2,Y,4,A,Zr,1,1,zirconium-1,1
TaFeAs,T14Y2L,33,arsenic,T,14,Y,2,L,As,1,3,arsenic-1,1
Cr2NiS4,V2Y2V,28,nickel,V,2,Y,2,V,Ni,1,2,nickel-1,1
NaCrO,A3Y2A,24,chromium,A,3,Y,2,A,Cr,1,2,chromium-1,1
MnAlFe2,T14Y1L,13,aluminium,T,14,Y,1,L,Al,1,2,aluminium-1,1
GaAgS2,B4Z1L,16,sulfur,B,4,Z,1,L,S,2,3,sulfur-1,1
GaAgS2,B4Z1L,16,sulfur,B,4,Z,1,L,S,2,3,sulfur-2,2
ZrGaRh,V2Y4V,45,rhodium,V,2,Y,4,V,Rh,1,3,rhodium-1,1
CsGaS3,B10Z2R,31,gallium,B,10,Z,2,R,Ga,1,2,gallium-1,1
HBCl2,T2Y1A,5,boron,T,2,Y,1,A,B,1,2,boron-1,1
ZrPOs,A2Y2A,15,phosphorus,A,2,Y,2,A,P,1,2,phosphorus-1,1
CsAuF4,V3Y6V,79,gold,V,3,Y,6,V,Au,1,2,gold-1,1
PdSnTe,B15Y1R,50,tin,B,15,Y,2,R,Sn,1,2,tin-1,1
KCdF3,B7Y2R,19,potassium,B,7,Y,2,R,K,1,1,potassium-1,1
NaAlSe2,B13Z2L,34,selenium,B,13,Z,2,L,Se,2,3,selenium-1,1
NaAlSe2,B13Z2L,34,selenium,B,13,Z,2,L,Se,2,3,selenium-2,2
Cr2CdSe4,T12Z2L,34,selenium,T,12,Z,2,L,Se,4,3,selenium-1,1
Cr2CdSe4,T12Z2L,34,selenium,T,12,Z,2,L,Se,4,3,selenium-2,2
SrBiO2I,B7Y4R,38,strontium,B,7,Y,4,R,Sr,1,1,strontium-1,1
Cr2CdSe4,T12Z2L,34,selenium,T,12,Z,2,L,Se,4,3,selenium-3,3
Cr2CdSe4,T12Z2L,34,selenium,T,12,Z,2,L,Se,4,3,selenium-4,4
ZnPS3,T9X2L,16,sulfur,T,9,X,2,L,S,3,3,sulfur-1,1
ZnPS3,T9X2L,16,sulfur,T,9,X,2,L,S,3,3,sulfur-2,2
ZrSnPd,B17Z1R,46,palladium,B,17,Z,1,R,Pd,1,3,palladium-1,1
ZnPS3,T9X2L,16,sulfur,T,9,X,2,L,S,3,3,sulfur-3,3
SbOsS,T12Z3L,76,osmium,T,12,Z,3,L,Os,1,2,osmium-1,1
Ba2GeAs2,T14Y1L,56,barium,T,14,Y,1,L,Ba,2,1,barium-1,1
Ba2GeAs2,T14Y1L,56,barium,T,14,Y,1,L,Ba,2,1,barium-2,2
LiNH3I,B10Z2R,53,iodine,B,10,Z,2,R,I,1,4,iodine-1,1
ZrGaCu,T14Y1L,29,copper,T,14,Y,1,L,Cu,1,3,copper-1,1
MoPRu,B8X1R,15,phosphorus,B,8,X,2,R,P,1,2,phosphorus-1,1
BaTaS3,B7Y6R,56,barium,B,7,Y,6,R,Ba,1,1,barium-1,1
Cs2VF6,V3Y6V,55,caesium,V,3,Y,6,V,Cs,2,1,caesium-1,1
Cs2VF6,V3Y6V,55,caesium,V,3,Y,6,V,Cs,2,1,caesium-2,2
CuSeO4,B3Y1R,8,oxygen,B,3,Y,1,R,O,4,3,oxygen-1,1
CuSeO4,B3Y1R,8,oxygen,B,3,Y,1,R,O,4,3,oxygen-2,2
CuSeO4,B3Y1R,8,oxygen,B,3,Y,1,R,O,4,3,oxygen-3,3
CuSeO4,B3Y1R,8,oxygen,B,3,Y,1,R,O,4,3,oxygen-4,4
ScZnPd,T14Y1L,46,palladium,T,14,Y,1,L,Pd,1,3,palladium-1,1
MnWO4,P1Z6P,8,oxygen,P,1,Z,2,P,O,4,3,oxygen-4,4
BaHfS3,B7Y2R,16,sulfur,B,7,Y,2,R,S,3,3,sulfur-1,1
TiNiGe,B13Z2L,32,germanium,B,13,Z,2,L,Ge,1,3,germanium-1,1
BaNiSn3,T14Y1L,50,tin,T,14,Y,2,L,Sn,3,3,tin-1,1
BaNiSn3,T14Y1L,50,tin,T,14,Y,2,L,Sn,3,3,tin-2,2
FeLiO2,P1Z6P,8,oxygen,P,1,Z,2,P,O,2,3,oxygen-2,2
SiTePt,B10Z3R,78,platinum,B,10,Z,3,R,Pt,1,3,platinum-1,1
AgPO,B7Y1R,15,phosphorus,B,7,Y,2,R,P,1,2,phosphorus-1,1
K2SnBr6,T14Y1L,50,tin,T,14,Y,2,L,Sn,1,2,tin-1,1
BaNiSn3,T14Y1L,50,tin,T,14,Y,2,L,Sn,3,3,tin-3,3
MgCoGe,A2Y2A,27,cobalt,A,2,Y,2,A,Co,1,2,cobalt-1,1
KAuS,B7Y2R,16,sulfur,B,7,Y,2,R,S,1,3,sulfur-1,1
MnCrF5,B10Z1R,24,chromium,B,10,Z,1,R,Cr,1,2,chromium-1,1
Rb2AgCl3,T11Z1R,47,silver,T,11,Z,1,R,Ag,1,2,silver-1,1
TcPbO3,B16Z1L,82,lead,B,16,Z,1,L,Pb,1,2,lead-1,1
Ba2MnTe3,V3Y2V,25,manganese,V,3,Y,2,V,Mn,1,2,manganese-1,1
MoNCl3,T2Y1L,7,nitrogen,T,2,Y,1,L,N,1,2,nitrogen-1,1
Na2CuP,W4Z2W,15,phosphorus,W,4,Z,1,W,P,1,3,phosphorus-1,1
ClSY,B8X2R,16,sulfur,B,8,X,2,R,S,1,2,sulfur-1,1
MnGaGe,T12Z2L,32,germanium,T,12,Z,2,L,Ge,1,3,germanium-1,1
Cs2SnAs2,B15Y2R,33,arsenic,B,15,Y,2,R,As,2,3,arsenic-1,1
Cs2SnAs2,B15Y2R,33,arsenic,B,15,Y,2,R,As,2,3,arsenic-2,2
NbNiB2,T2Y1A,5,boron,T,2,Y,1,A,B,2,3,boron-1,1
NbNiB2,T2Y1A,5,boron,T,2,Y,1,A,B,2,3,boron-2,2
Cl2NiO6,T12Z1L,28,nickel,T,12,Z,2,L,Ni,1,2,nickel-1,1
TeAuBr8,T12Z2L,35,bromine,T,12,Z,2,L,Br,8,3,bromine-1,1
TeAuBr8,T12Z2L,35,bromine,T,12,Z,2,L,Br,8,3,bromine-2,2
TeAuBr8,T12Z2L,35,bromine,T,12,Z,2,L,Br,8,3,bromine-3,3
TlBS3,T6Y2L,16,sulfur,T,6,Y,2,L,S,3,3,sulfur-1,1
TlBS3,T6Y2L,16,sulfur,T,6,Y,2,L,S,3,3,sulfur-2,2
NaBrO3,B13Z2L,35,bromine,B,13,Z,2,L,Br,1,2,bromine-1,1
HgIK,E5Z2E,19,potassium,E,5,Z,2,E,K,1,3,potassium-1,1
TeAuBr8,T12Z2L,35,bromine,T,12,Z,2,L,Br,8,3,bromine-4,4
TeAuBr8,T12Z2L,35,bromine,T,12,Z,2,L,Br,8,3,bromine-5,5
TeAuBr8,T12Z2L,35,bromine,T,12,Z,2,L,Br,8,3,bromine-6,6
TeAuBr8,T12Z2L,35,bromine,T,12,Z,2,L,Br,8,3,bromine-7,7
TeAuBr8,T12Z2L,35,bromine,T,12,Z,2,L,Br,8,3,bromine-8,8
H6CuGeSe,V3Y2V,29,copper,V,3,Y,2,V,Cu,1,2,copper-1,1
Na2SeO3,P1Z6P,8,oxygen,P,1,Z,2,P,O,3,3,oxygen-1,1
Na2SeO3,P1Z6P,8,oxygen,P,1,Z,2,P,O,3,3,oxygen-2,2
Na2SeO3,P1Z6P,8,oxygen,P,1,Z,2,P,O,3,3,oxygen-3,3
SrCuF4,B10Z2R,29,copper,B,10,Z,2,R,Cu,1,2,copper-1,1
HfGeTe,T14Y3L,72,hafnium,T,14,Y,3,L,Hf,1,1,hafnium-1,1
AlBaF5,A3Y2A,9,fluorine,A,3,Y,1,A,F,5,3,fluorine-1,1
AlBaF5,A3Y2A,9,fluorine,A,3,Y,1,A,F,5,3,fluorine-2,2
AlBaF5,A3Y2A,9,fluorine,A,3,Y,1,A,F,5,3,fluorine-3,3
AlBaF5,A3Y2A,9,fluorine,A,3,Y,1,A,F,5,3,fluorine-4,4
AlBaF5,A3Y2A,9,fluorine,A,3,Y,1,A,F,5,3,fluorine-5,5
ZrGePt,T14Y2L,32,germanium,T,14,Y,2,L,Ge,1,2,germanium-1,1
ZrGePd,B13Z1L,46,palladium,B,13,Z,1,L,Pd,1,3,palladium-1,1
FeBiO3,V3Y6V,83,bismuth,V,3,Y,6,V,Bi,1,2,bismuth-1,1
CdSnAs2,A2Y2A,33,arsenic,A,2,Y,2,A,As,2,3,arsenic-1,1
CdSnAs2,A2Y2A,33,arsenic,A,2,Y,2,A,As,2,3,arsenic-2,2
SrCdGe,V3Y4V,38,strontium,V,3,Y,4,V,Sr,1,1,strontium-1,1
Cu2GeO4,T2Y1L,8,oxygen,T,2,Y,1,L,O,4,3,oxygen-1,1
Cu2GeO4,T2Y1L,8,oxygen,T,2,Y,1,L,O,4,3,oxygen-2,2
Cu2GeO4,T2Y1L,8,oxygen,T,2,Y,1,L,O,4,3,oxygen-3,3
Cu2GeO4,T2Y1L,8,oxygen,T,2,Y,1,L,O,4,3,oxygen-4,4
CaGaAu,T12Z2L,31,gallium,T,12,Z,2,L,Ga,1,2,gallium-1,1
CaZrS3,B4Z1L,16,sulfur,B,4,Z,1,L,S,3,3,sulfur-1,1
CaZrS3,B4Z1L,16,sulfur,B,4,Z,1,L,S,3,3,sulfur-2,2
CaZrS3,B4Z1L,16,sulfur,B,4,Z,1,L,S,3,3,sulfur-3,3
LiHO,B3Y1R,8,oxygen,B,3,Y,1,R,O,1,3,oxygen-1,1
CsMnP,V3Y2V,15,phosphorus,V,3,Y,2,V,P,1,3,phosphorus-1,1
GaHCl2,V1Z2V,17,chlorine,V,1,Z,2,V,Cl,2,3,chlorine-1,1
GaHCl2,V1Z2V,17,chlorine,V,1,Z,2,V,Cl,2,3,chlorine-2,2
AgIO4,B13Z2L,53,iodine,B,13,Z,2,L,I,1,2,iodine-1,1
YNiGe,T12Z1L,28,nickel,T,12,Z,2,L,Ni,1,2,nickel-1,1
AgGaS2,T12Z2L,31,gallium,T,12,Z,2,L,Ga,1,2,gallium-1,1
PdSnTe,A2Y4A,50,tin,A,2,Y,4,A,Sn,1,2,tin-1,1
Cs2MnS2,B7Y2R,16,sulfur,B,7,Y,2,R,S,2,3,sulfur-1,1
Cs2MnS2,B7Y2R,16,sulfur,B,7,Y,2,R,S,2,3,sulfur-2,2
KNiF3,A3Y2A,9,fluorine,A,3,Y,1,A,F,3,3,fluorine-1,1
KNiF3,A3Y2A,9,fluorine,A,3,Y,1,A,F,3,3,fluorine-2,2
