Formula,LTAMKey,AtomicNumber,Element,Electrons,SlotNumber,SlotOrientation,AlphaType,SlotSpin,AtomicSymbol,AtomCount,AtomOrder,AtomLabel,AtomCountNumber
Mn2ZnAs2,B10Z1R,25,manganese,B,10,Z,1,R,Mn,2,1,manganese-1,1
Mn2ZnAs2,B10Z1R,25,manganese,B,10,Z,1,R,Mn,2,1,manganese-2,2
Cs2ZrF6,T9X6L,55,caesium,T,9,X,6,L,Cs,2,1,caesium-1,1
Cs2ZrF6,T9X6L,55,caesium,T,9,X,6,L,Cs,2,1,caesium-2,2
YGaCo,V2Y4V,39,yttrium,V,2,Y,4,V,Y,1,1,yttrium-1,1
BaTiS3,V2Y6V,56,barium,V,2,Y,6,V,Ba,1,1,barium-1,1
BaHI,V2Y6V,56,barium,V,2,Y,6,V,Ba,1,1,barium-1,1
Cu2WS4,B13Z3L,74,tungsten,B,13,Z,3,L,W,1,2,tungsten-1,1
TaTlS3,T11Z4R,81,thallium,T,11,Z,4,R,Tl,1,2,thallium-1,1
AlCuO2,V3Y2V,29,copper,V,3,Y,2,V,Cu,1,2,copper-1,1
SrTeO3,A2Y4A,52,tellurium,A,2,Y,4,A,Te,1,2,tellurium-1,1
H2BiPb,V3Y6V,83,bismuth,V,3,Y,6,V,Bi,1,2,bismuth-1,1
Te2OsCl12,T14Y3L,76,osmium,T,14,Y,3,L,Os,1,2,osmium-1,1
LiMnAs,B13Z2L,33,arsenic,B,13,Z,2,L,As,1,3,arsenic-1,1
K2MnF6,E5Z2E,19,potassium,E,5,Z,2,E,K,2,1,potassium-1,1
K2MnF6,E5Z2E,19,potassium,E,5,Z,2,E,K,2,1,potassium-2,2
HfCoSb,V2Y4V,51,antimony,V,2,Y,4,V,Sb,1,3,antimony-1,1
Sr2SnO4,T9X4L,38,strontium,T,9,X,4,L,Sr,2,1,strontium-1,1
Sr2SnO4,T9X4L,38,strontium,T,9,X,4,L,Sr,2,1,strontium-2,2
ScGaPd,T12Z2L,31,gallium,T,12,Z,2,L,Ga,1,2,gallium-1,1
CuClF10,B7Y2R,17,chlorine,B,7,Y,2,R,Cl,1,2,chlorine-1,1
PdPS,T9X2L,16,sulfur,T,9,X,2,L,S,1,3,sulfur-1,1
Ba2MnTe3,A2Y4A,52,tellurium,A,2,Y,4,A,Te,3,3,tellurium-1,1
Ba2MnTe3,A2Y4A,52,tellurium,A,2,Y,4,A,Te,3,3,tellurium-2,2
Ba2MnTe3,A2Y4A,52,tellurium,A,2,Y,4,A,Te,3,3,tellurium-3,3
Ba2HN,P1Z6P,7,nitrogen,P,1,Z,2,P,N,1,3,nitrogen-1,1
ZrTlCdF7,V3Y4V,48,cadmium,V,3,Y,4,V,Cd,1,3,cadmium-1,1
Sc2CdSe4,A2Y4A,48,cadmium,A,2,Y,4,A,Cd,1,2,cadmium-1,1
